Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,19329,0.000817897836558,-0.000201404
ATF2_HUMAN.H10MO.B,23207,0.00073478745134,-0.000325173
FOXD3_HUMAN.H10MO.D,60578,0.00166626942125,-0.00128868
ZBTB6_HUMAN.H10MO.D,17867,0.000324614820738,-0.000189215
NR1H2_HUMAN.H10MO.D,22131,0.000542382396696,-7.97808e-05
ETV2_HUMAN.H10MO.D,50283,0.00162358065529,-0.00101581
ETV3_HUMAN.H10MO.D,32492,0.000939403326054,-0.000428766
RFX5_HUMAN.H10MO.A,29118,0.000949115688535,-0.000292957
SCRT2_HUMAN.H10MO.D,28289,0.000500215693774,-0.00017637
ELF2_HUMAN.H10MO.C,72518,0.00245576821379,-0.000884205
MLXPL_HUMAN.H10MO.D,50912,0.00119056737234,-0.000667602
PAX6_HUMAN.H10MO.D,26939,0.000798179492877,-0.000156581
MAX_HUMAN.H10MO.A,55738,0.00125423248458,-0.000595242
KLF6_HUMAN.H10MO.D,83177,0.00211311286121,-0.0014697
HNF1B_HUMAN.H10MO.B,26036,0.00084085855517,-0.000375569
PBX2_HUMAN.H10MO.C,21015,0.000527622439627,-0.000267893
RXRA_HUMAN.H10MO.C,49439,0.0019432449534,-0.000654519
HESX1_HUMAN.H10MO.D,33133,0.00103375001476,-0.000304282
NFKB2_HUMAN.H10MO.D,24803,0.000589431146629,-0.000172675
HSF4_HUMAN.H10MO.D,8230,0.000387064692801,-7.55489e-05
ERR2_HUMAN.H10MO.A,13143,0.000580962645599,-0.000118434
ESX1_HUMAN.H10MO.D,35580,0.00089115940669,-0.000354886
AP2B_HUMAN.H10MO.B,49906,0.000950244193151,-0.000757992
SPI1_HUMAN.H10MO.A,71325,0.00218739820738,-0.00114194
MYBA_HUMAN.H10MO.D,38045,0.00108994415105,-0.000399768
GFI1B_HUMAN.H10MO.C,16237,0.000474653239307,-0.000107974
PO6F1_HUMAN.H10MO.D,30183,0.000877554687794,-0.00034523
ERR1_HUMAN.H10MO.D,66668,0.00253521073511,-0.000864983
PLAG1_HUMAN.H10MO.S,69965,0.00224592070655,-0.0011602
MAFA_HUMAN.H10MO.D,23706,0.000414871054463,-0.000316978
ELF1_HUMAN.H10MO.A,48448,0.00144698112063,-0.000418782
SPDEF_HUMAN.H10MO.D,26648,0.000749400777329,-0.000267893
GRHL1_HUMAN.H10MO.D,28812,0.000651107422232,-0.000275761
SCRT1_HUMAN.H10MO.D,21446,0.000541029110379,-6.82175e-05
