Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,16817,0.000450172580363,-0.000483543
ATF2_HUMAN.H10MO.B,13395,-4.05488663424e-06,-0.000353068
FOXD3_HUMAN.H10MO.D,34724,9.31884283362e-05,-3.46899e-05
ZBTB6_HUMAN.H10MO.D,18638,0.00013564568777,-0.000675797
NR1H2_HUMAN.H10MO.D,15006,-6.91960251191e-05,-0.000491112
ETV2_HUMAN.H10MO.D,36657,0.000318014258527,-0.000631154
ETV3_HUMAN.H10MO.D,19151,-0.000139308612308,-0.00047648
RFX5_HUMAN.H10MO.A,21009,-0.000570513747433,-0.000159681
SCRT2_HUMAN.H10MO.D,13468,0.000567446515689,-0.000239223
ELF2_HUMAN.H10MO.C,77075,0.000572009328788,-0.00362855
MLXPL_HUMAN.H10MO.D,29140,-0.000419286151214,-0.000599414
PAX6_HUMAN.H10MO.D,17551,0.000184676590105,-0.000377327
MAX_HUMAN.H10MO.A,24105,-0.000340813008603,-0.000524879
KLF6_HUMAN.H10MO.D,75098,-0.000307268558029,-0.00130644
HNF1B_HUMAN.H10MO.B,17780,-7.62451724365e-05,-0.000432074
PBX2_HUMAN.H10MO.C,12380,-0.000116469151832,-0.000145912
RXRA_HUMAN.H10MO.C,41701,-0.000903113958607,-0.00146383
GLIS2_HUMAN.H10MO.D,73014,-0.00106164695653,-0.000727326
NFKB2_HUMAN.H10MO.D,17061,-0.000546583372023,-0.000472873
HSF4_HUMAN.H10MO.D,6994,-9.3155979382e-05,-0.000216752
ERR2_HUMAN.H10MO.A,8306,-0.000104947677202,-6.84857e-05
ESX1_HUMAN.H10MO.D,20301,0.000791251779713,-0.000531673
AP2B_HUMAN.H10MO.B,81392,-0.000445344551271,-0.00107861
SPI1_HUMAN.H10MO.A,50005,-5.531477147e-05,-0.00216171
MYBA_HUMAN.H10MO.D,21645,-0.000215423281231,-0.00068447
GFI1B_HUMAN.H10MO.C,9415,-6.64531780611e-05,-0.000148743
PO6F1_HUMAN.H10MO.D,18571,0.000164603795603,-0.000558257
ERR1_HUMAN.H10MO.D,45874,-0.00127731138415,-0.000879556
PLAG1_HUMAN.H10MO.S,85048,-0.0011659699029,-0.00164938
MAFA_HUMAN.H10MO.D,18266,-0.000254612767149,-0.000455558
ELF1_HUMAN.H10MO.A,48748,0.000758617121194,-0.00216997
SPDEF_HUMAN.H10MO.D,19483,-0.000394332899462,-0.000368893
GRHL1_HUMAN.H10MO.D,17689,0.000447568427195,-0.000436604
SCRT1_HUMAN.H10MO.D,11824,0.00029152271648,-0.000322849
FOXJ2_HUMAN.H10MO.C,35744,0.000150743257069,-0.000362128
ASCL2_HUMAN.H10MO.D,82104,-0.000169078857507,-0.00168762
XBP1_HUMAN.H10MO.C,22097,-0.000109427225042,-0.000220537
FOXF2_HUMAN.H10MO.D,21823,0.000324282132347,-0.000306368
NFIC_HUMAN.H10MO.A,19010,-0.00100537047368,-0.000224948
MYC_HUMAN.H10MO.A,30832,-0.000748341174879,-0.000486225
STA5B_HUMAN.H10MO.C,6592,-0.000204919641941,-3.2872e-05
RELB_HUMAN.H10MO.C,19804,-0.000504036420015,-0.000318646
HNF4G_HUMAN.H10MO.C,20789,-0.000310498094026,-0.000568122
NFYB_HUMAN.H10MO.A,21009,-0.00029259575908,-0.000526816
MEOX2_HUMAN.H10MO.D,22441,0.000247295260656,-0.000448644
DBP_HUMAN.H10MO.B,12704,-9.23039682554e-06,-0.000253648
ANDR_HUMAN.H10MO.A,17336,-0.000365061288126,-0.000573546
P63_HUMAN.H10MO.A,13117,-0.000455367102089,-0.000127226
AIRE_HUMAN.H10MO.C,20583,-0.000151487873917,-0.000305384
NFYA_HUMAN.H10MO.A,23100,-0.000516417257197,-0.000677556
PO5F1_HUMAN.H10MO.A,17296,-0.000787820292827,-0.000420064
SOX8_HUMAN.H10MO.D,11040,-0.000567005794429,-0.000272989
THA_HUMAN.H10MO.C,16451,-0.000579715568087,-0.000456095
INSM1_HUMAN.H10MO.C,58328,-0.000982716156191,-0.001708
CDX2_HUMAN.H10MO.C,16430,0.000105928441535,-0.000200301
ETS2_HUMAN.H10MO.C,56603,0.000301937798275,-0.00241455
ZN713_HUMAN.H10MO.D,58555,0.000105405480973,-0.0010764
MYF6_HUMAN.H10MO.C,10864,-0.000439212303591,-0.000253588
RX_HUMAN.H10MO.D,16791,-9.12222819318e-05,-0.000478119
GATA3_HUMAN.H10MO.C,22007,0.000109402096158,-0.000486761
ZN148_HUMAN.H10MO.D,60010,-0.000171234353562,-0.000476986
PO3F4_HUMAN.H10MO.D,20180,0.000357255882057,-0.000291735
ZN784_HUMAN.H10MO.D,24042,-0.000915761104238,-0.00061959
ZN524_HUMAN.H10MO.D,52933,-0.000571231470944,-0.0013212
STAT6_HUMAN.H10MO.C,8504,-0.000237836301367,-0.000198901
PAX1_HUMAN.H10MO.D,18529,-0.000108294974333,-0.000378698
PRRX1_HUMAN.H10MO.D,4528,5.31948537845e-05,-0.00011903
ZIC4_HUMAN.H10MO.D,59714,-0.000608303012567,-0.000779688
CUX1_HUMAN.H10MO.C,15581,-2.47626709622e-05,-0.000326931
BARH1_HUMAN.H10MO.D,19695,0.000208173526318,-0.000666112
NKX21_HUMAN.H10MO.D,9735,0.000313674312813,-0.000193566
HXD4_HUMAN.H10MO.D,14546,-0.000193836156311,-0.000197798
PRRX2_HUMAN.H10MO.C,16627,9.14263688007e-05,-0.000282258
PO4F3_HUMAN.H10MO.D,39178,0.000462393906077,-0.00081256
HXB6_HUMAN.H10MO.D,16636,-0.00011025538111,-0.00055477
NDF2_HUMAN.H10MO.D,26966,-0.000162175117963,-0.000813752
HXD3_HUMAN.H10MO.D,16093,0.000240629493829,-0.000511974
SRF_HUMAN.H10MO.A,26179,-0.00016916630927,-0.000695765
ITF2_HUMAN.H10MO.B,13031,-0.000345334254255,-0.000211686
MYCN_HUMAN.H10MO.B,29190,-0.000756877826849,-0.000446081
TFE2_HUMAN.H10MO.C,10075,0.000247968381297,-0.000266969
FLI1_HUMAN.H10MO.A,47172,-0.000242686670769,-0.00208008
PURA_HUMAN.H10MO.D,88098,-0.000386256509541,-0.00149408
ETV7_HUMAN.H10MO.D,16111,-0.000913744186817,-0.000334799
NFIA_HUMAN.H10MO.C,20629,-0.000599997676444,-0.000270516
LHX8_HUMAN.H10MO.D,11108,0.000235945806783,-0.000332326
COE1_HUMAN.H10MO.A,21676,-0.000280103323005,-0.000238717
KLF8_HUMAN.H10MO.C,36030,-0.00128111973991,-0.000834614
PTF1A_HUMAN.H10MO.C,20460,-0.000602095841779,-0.000451237
STA5A_HUMAN.H10MO.B,6875,-4.81710590261e-06,1.43051e-05
FOS_HUMAN.H10MO.A,7113,-9.36832106383e-05,-0.000108808
ZSC16_HUMAN.H10MO.D,9975,-0.000111123705809,-0.000198632
TBX21_HUMAN.H10MO.D,14572,0.000186991518888,-0.000318795
GATA5_HUMAN.H10MO.D,14895,-0.000180270679741,-0.000384152
HES1_HUMAN.H10MO.D,40088,-0.000597220532441,-0.000517786
TFCP2_HUMAN.H10MO.D,23551,0.000425624951148,-0.000293195
TGIF1_HUMAN.H10MO.S,5907,-0.000269727230226,5.87106e-06
BACH1_HUMAN.H10MO.A,12932,-0.00032997387834,-0.000215739
GSX1_HUMAN.H10MO.D,19668,0.000592935734213,-0.000527322
TGIF1_HUMAN.H10MO.D,13551,-0.000224130600497,-0.000261843
SOX10_HUMAN.H10MO.D,16795,-2.15214562018e-05,-0.000158012
