Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,14798,0.000518913515048,-0.000108093
ATF2_HUMAN.H10MO.B,16540,0.000687827277369,-8.18968e-05
FOXD3_HUMAN.H10MO.D,43676,0.00230276720103,-3.20673e-05
ZBTB6_HUMAN.H10MO.D,13845,0.000495319140306,-0.000104785
NR1H2_HUMAN.H10MO.D,16079,0.000920442409279,-0.000120133
ETV2_HUMAN.H10MO.D,37840,0.00173666295899,-0.000230432
ETV3_HUMAN.H10MO.D,23523,0.000980469901596,-8.90493e-05
RFX5_HUMAN.H10MO.A,21623,0.00063144563694,-0.000150681
SCRT2_HUMAN.H10MO.D,18599,0.000944419333847,-0.000108242
ELF2_HUMAN.H10MO.C,56703,0.00250958530146,-0.000555217
MLXPL_HUMAN.H10MO.D,36352,0.00162294921663,-0.000224501
PAX6_HUMAN.H10MO.D,19360,0.000823465869281,-5.27799e-05
MAX_HUMAN.H10MO.A,38299,0.00167671786617,-0.000231683
KLF6_HUMAN.H10MO.D,62180,0.00265892027296,-0.000504851
HNF1B_HUMAN.H10MO.B,19343,0.001055722271,-2.72691e-05
PBX2_HUMAN.H10MO.C,14716,0.000814816479134,-4.02331e-06
RXRA_HUMAN.H10MO.C,37542,0.00127079817101,-0.000399172
HESX1_HUMAN.H10MO.D,24003,0.00124029959145,-0.000199407
NFKB2_HUMAN.H10MO.D,18243,0.000791624065198,-9.73344e-05
HSF4_HUMAN.H10MO.D,6450,0.000406911361448,-4.3124e-05
ERR2_HUMAN.H10MO.A,8960,0.000517780056976,-6.42836e-05
ESX1_HUMAN.H10MO.D,24726,0.000963909594899,3.10242e-05
AP2B_HUMAN.H10MO.B,75622,0.00268906074485,-0.000495136
SPI1_HUMAN.H10MO.A,62546,0.00260998270608,-0.00059703
MYBA_HUMAN.H10MO.D,26518,0.00100801517529,-3.14713e-05
GFI1B_HUMAN.H10MO.C,11644,0.000325133382265,-8.27312e-05
PO6F1_HUMAN.H10MO.D,22061,0.000776618188428,5.17666e-05
ERR1_HUMAN.H10MO.D,47304,0.00208796664052,-0.000344723
PLAG1_HUMAN.H10MO.S,96667,0.00334109783752,-0.000795156
MAFA_HUMAN.H10MO.D,17313,0.000643731832632,-0.000145197
ELF1_HUMAN.H10MO.A,37109,0.00122214692573,-0.000272155
SPDEF_HUMAN.H10MO.D,19619,0.000951633590006,-0.000108898
GRHL1_HUMAN.H10MO.D,20811,0.000685514350716,-4.79221e-05
SCRT1_HUMAN.H10MO.D,14501,0.000796957967875,-9.52482e-05
FOXJ2_HUMAN.H10MO.C,44039,0.00191035956195,2.17557e-06
ASCL2_HUMAN.H10MO.D,91267,0.00302912536874,-0.00087437
XBP1_HUMAN.H10MO.C,32686,0.00135382034801,-0.000185847
FOXF2_HUMAN.H10MO.D,24814,0.00102147190326,-3.8296e-05
NFIC_HUMAN.H10MO.A,19043,0.000663521423187,-8.90195e-05
MYC_HUMAN.H10MO.A,46644,0.00201786578839,-0.000354707
STA5B_HUMAN.H10MO.C,6260,0.00030309241217,-3.52859e-05
RELB_HUMAN.H10MO.C,20084,0.0011378976566,-0.000130534
HNF4G_HUMAN.H10MO.C,21387,0.000687457252388,-0.000119299
NFYB_HUMAN.H10MO.A,27821,0.00112759675114,-0.00015083
MEOX2_HUMAN.H10MO.D,23627,0.00115562004224,-1.2219e-05
DBP_HUMAN.H10MO.B,15828,0.000699979235291,-5.78463e-05
ANDR_HUMAN.H10MO.A,25274,0.00104178579283,-0.000156105
P63_HUMAN.H10MO.A,15134,0.000861219351615,-9.83477e-05
AIRE_HUMAN.H10MO.C,22366,0.000987662776311,-7.16746e-05
NFYA_HUMAN.H10MO.A,33698,0.00122567419714,-0.00014174
PO5F1_HUMAN.H10MO.A,22426,0.000959408805279,-4.57466e-05
SOX8_HUMAN.H10MO.D,14071,0.000760799272497,-5.74887e-05
THA_HUMAN.H10MO.C,17908,0.000442938852369,-0.000109494
INSM1_HUMAN.H10MO.C,59768,0.00282273894229,-0.000541449
CDX2_HUMAN.H10MO.C,16749,0.000911358793939,2.16365e-05
ETS2_HUMAN.H10MO.C,46356,0.00182068165276,-0.000344038
ZN713_HUMAN.H10MO.D,86807,0.00324140672405,-0.000715375
MYF6_HUMAN.H10MO.C,11630,0.000505274756265,-0.000115603
RX_HUMAN.H10MO.D,21429,0.000739756633417,-1.70469e-05
GATA3_HUMAN.H10MO.C,16761,0.000768350462896,-0.000108182
ZN148_HUMAN.H10MO.D,70650,0.000790502944435,-0.000488311
PO3F4_HUMAN.H10MO.D,24319,0.00104575703221,-4.13656e-05
ZN784_HUMAN.H10MO.D,26103,0.00127685085785,-0.000145108
ZN524_HUMAN.H10MO.D,57041,0.00240710417811,-0.000447392
STAT6_HUMAN.H10MO.C,8558,0.000415004323087,-4.33028e-05
PAX1_HUMAN.H10MO.D,22011,0.00101454846968,-7.68304e-05
PRRX1_HUMAN.H10MO.D,4806,0.000383826377619,5.24521e-06
ZIC4_HUMAN.H10MO.D,66985,0.00257203408621,-0.000521302
