Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,12848,-8.51017652969e-05,-0.000337839
ATF2_HUMAN.H10MO.B,8717,-0.000490475352332,-9.29832e-05
FOXD3_HUMAN.H10MO.D,24841,0.00121317543901,-0.000463098
ZBTB6_HUMAN.H10MO.D,14129,0.000473403012283,-0.000376612
NR1H2_HUMAN.H10MO.D,11148,0.000277276694077,-0.000102282
ETV2_HUMAN.H10MO.D,26747,-0.00070992470477,-0.000607908
ETV3_HUMAN.H10MO.D,13541,0.000796261121184,-0.000363261
RFX5_HUMAN.H10MO.A,15340,0.000489012221786,-0.000257045
SCRT2_HUMAN.H10MO.D,9557,0.000328145037875,-3.64482e-05
ELF2_HUMAN.H10MO.C,60780,0.00294045454366,-0.00225481
MLXPL_HUMAN.H10MO.D,20396,0.000619803058762,-0.000364274
PAX6_HUMAN.H10MO.D,12267,-0.000139366169426,-0.000122517
MAX_HUMAN.H10MO.A,16277,0.000485352472212,-0.000116229
KLF6_HUMAN.H10MO.D,54076,-0.00143272085238,-0.00116429
HNF1B_HUMAN.H10MO.B,12341,0.000619949195972,-0.000245452
PBX2_HUMAN.H10MO.C,8467,-0.000449533943366,-7.76947e-05
RXRA_HUMAN.H10MO.C,32200,3.14088904783e-05,-0.000744611
GLIS2_HUMAN.H10MO.D,51860,-0.000984762275496,-0.000784367
NFKB2_HUMAN.H10MO.D,12362,0.000260098478332,-0.000167847
HSF4_HUMAN.H10MO.D,5141,0.000556517897309,-0.000101805
ERR2_HUMAN.H10MO.A,6084,0.000141972564841,4.13656e-05
ESX1_HUMAN.H10MO.D,14568,0.000463162371122,-0.000298798
AP2B_HUMAN.H10MO.B,58689,0.000832221390624,-0.00111464
SPI1_HUMAN.H10MO.A,79850,0.00232014852223,-0.00290015
MYBA_HUMAN.H10MO.D,15284,-0.00024851142717,-7.98702e-06
GFI1B_HUMAN.H10MO.C,6820,0.000211156712229,-0.000102758
PO6F1_HUMAN.H10MO.D,12852,-0.000283780292007,-5.41806e-05
ERR1_HUMAN.H10MO.D,33661,-0.000154640490258,-0.00045675
PLAG1_HUMAN.H10MO.S,62352,0.00143446069755,-0.00123262
MAFA_HUMAN.H10MO.D,13201,-7.82721040395e-05,-0.000163376
ELF1_HUMAN.H10MO.A,38044,0.00214416974463,-0.00105122
SPDEF_HUMAN.H10MO.D,14003,-3.81787807329e-05,-7.26283e-05
GRHL1_HUMAN.H10MO.D,12253,0.000790435421557,-0.000123262
SCRT1_HUMAN.H10MO.D,8136,-0.000445771385597,-6.8754e-05
FOXJ2_HUMAN.H10MO.C,25657,0.000341621955438,-0.00052917
ASCL2_HUMAN.H10MO.D,59572,5.81020403191e-05,-0.00163975
XBP1_HUMAN.H10MO.C,15286,0.000539044677533,-0.000247002
FOXF2_HUMAN.H10MO.D,15388,0.000413212374167,-0.000264108
NFIC_HUMAN.H10MO.A,13584,-0.00036396178161,-0.000251263
MYC_HUMAN.H10MO.A,21040,0.000815549034425,-9.89139e-05
STA5B_HUMAN.H10MO.C,4682,0.000327054097613,-0.000108212
RELB_HUMAN.H10MO.C,14490,0.000415232711893,-0.000212938
HNF4G_HUMAN.H10MO.C,14595,-8.99566625363e-05,-0.000278771
IRF4_HUMAN.H10MO.C,79723,0.00241586064157,-0.00294429
MEOX2_HUMAN.H10MO.D,15149,0.000993588670014,-0.000271708
DBP_HUMAN.H10MO.B,8669,0.000322448417794,-0.000131577
ANDR_HUMAN.H10MO.A,12528,0.000806063806416,-0.000225693
P63_HUMAN.H10MO.A,9255,0.000366609478853,-0.000174344
AIRE_HUMAN.H10MO.C,14552,0.000397169170163,-0.00013411
NFYA_HUMAN.H10MO.A,16458,-0.000435014089626,-0.000182599
PO5F1_HUMAN.H10MO.A,12407,0.000590154548718,-0.000211269
SOX8_HUMAN.H10MO.D,7773,0.000142642133112,-8.33273e-05
THA_HUMAN.H10MO.C,11548,0.00127135241791,-0.000213981
INSM1_HUMAN.H10MO.C,42856,-0.00045737123216,-0.000881076
CDX2_HUMAN.H10MO.C,11277,0.000213761247789,-0.000212193
ETS2_HUMAN.H10MO.C,43692,0.00211860342402,-0.00118718
ZN713_HUMAN.H10MO.D,91564,0.00133227141254,-0.00297326
MYF6_HUMAN.H10MO.C,8155,5.41870514406e-05,-7.21216e-05
RX_HUMAN.H10MO.D,12286,-6.8860378212e-05,-0.000226527
GATA3_HUMAN.H10MO.C,17405,0.000671976636437,-0.000438154
ZN148_HUMAN.H10MO.D,91650,0.000141819987641,-0.00147584
PO3F4_HUMAN.H10MO.D,13873,0.000530645051295,-0.000274509
ZN784_HUMAN.H10MO.D,17852,0.000270328159019,-0.000344962
ZN524_HUMAN.H10MO.D,38948,0.000821072927073,-0.000848979
STAT6_HUMAN.H10MO.C,6117,-0.000251930942234,-8.6844e-05
PAX1_HUMAN.H10MO.D,12817,2.85556812966e-05,-0.000243783
PRRX1_HUMAN.H10MO.D,3522,-8.2359895559e-07,-3.93093e-05
ZIC4_HUMAN.H10MO.D,41915,3.5106726254e-05,-0.000790328
CTCFL_HUMAN.H10MO.A,28364,0.000367467172642,-0.00057289
BARH1_HUMAN.H10MO.D,13479,0.000691281505744,-8.54433e-05
NKX21_HUMAN.H10MO.D,7300,0.000722076599496,-8.2016e-05
HXD4_HUMAN.H10MO.D,9965,0.000402012728034,-0.00018239
PRRX2_HUMAN.H10MO.C,11312,-0.000303217000651,-0.000181884
PO4F3_HUMAN.H10MO.D,27360,0.00107363150927,-0.000454068
HXB6_HUMAN.H10MO.D,11469,0.000660163300218,-0.000141531
NDF2_HUMAN.H10MO.D,19091,0.00074183779314,-0.000340462
HXD3_HUMAN.H10MO.D,11691,0.000626589844069,-0.000105947
SRF_HUMAN.H10MO.A,20172,0.000920565616422,-0.000452846
ITF2_HUMAN.H10MO.B,9331,0.000339879103915,-9.77516e-05
MYCN_HUMAN.H10MO.B,19752,0.000890287668908,-0.000169814
TFE2_HUMAN.H10MO.C,7203,-0.000295847392005,-6.51479e-05
FLI1_HUMAN.H10MO.A,36714,0.000531906199446,-0.000842184
PURA_HUMAN.H10MO.D,66190,0.00164713622517,-0.00132853
ETV7_HUMAN.H10MO.D,11886,-0.000443368334551,-0.000225246
NFIA_HUMAN.H10MO.C,14370,0.0002134208177,-0.000312299
LHX8_HUMAN.H10MO.D,7726,0.000324895663189,-6.69062e-05
COE1_HUMAN.H10MO.A,15468,0.000537338546632,-0.000273228
KLF8_HUMAN.H10MO.C,25579,-0.00136789139552,-0.00025785
PTF1A_HUMAN.H10MO.C,15150,0.000321225461296,-0.000309706
STA5A_HUMAN.H10MO.B,4766,0.0003935441325,-0.000113279
FOS_HUMAN.H10MO.A,4958,0.000228176400539,-6.74725e-05
ZSC16_HUMAN.H10MO.D,6737,0.000274997193991,-7.27773e-05
TBX21_HUMAN.H10MO.D,10043,-4.24565665444e-05,-6.50287e-05
GATA5_HUMAN.H10MO.D,11488,0.000594207237835,-0.000227034
HES1_HUMAN.H10MO.D,27191,0.00120342384716,-0.000199497
TFCP2_HUMAN.H10MO.D,16943,-0.000105853437858,-0.00028342
TGIF1_HUMAN.H10MO.S,4462,6.2459945492e-05,-6.13332e-05
BACH1_HUMAN.H10MO.A,8766,0.0002795669588,-0.000156134
GSX1_HUMAN.H10MO.D,13812,0.00067282162154,-0.000303358
TGIF1_HUMAN.H10MO.D,9569,-0.00077852679872,-4.97699e-05
SOX10_HUMAN.H10MO.D,12848,-9.57770871487e-05,-0.000398457
RARB_HUMAN.H10MO.D,10926,0.000137141294718,-0.000198811
FOXC2_HUMAN.H10MO.D,8048,0.000129458431208,-0.000145733
NFAC4_HUMAN.H10MO.C,21090,-1.11969386385e-05,-0.000511527
TBX5_HUMAN.H10MO.D,9204,0.000300327594756,-9.12845e-05
UNC4_HUMAN.H10MO.D,16701,0.00125755551917,-0.000303656
MAFG_HUMAN.H10MO.S,3583,-0.000178143482758,-3.22759e-05
DRGX_HUMAN.H10MO.D,13901,0.000939462002322,-0.000242323
BHE41_HUMAN.H10MO.D,17267,0.000133940343709,-0.000178456
GLIS3_HUMAN.H10MO.D,51154,0.000916397929953,-0.000955939
GBX2_HUMAN.H10MO.D,14187,0.00121910410386,-0.000307977
ELF3_HUMAN.H10MO.D,16014,0.000598359016759,-0.000407279
TF2LX_HUMAN.H10MO.D,6172,-0.000143646324432,-6.08861e-05
FOXD1_HUMAN.H10MO.D,10836,0.000238569767729,-0.000278205
CREB1_HUMAN.H10MO.A,13035,-0.000438288406959,-0.000242472
EVX2_HUMAN.H10MO.A,19585,-0.000428682494666,-0.000417829
BSH_HUMAN.H10MO.D,14328,-0.000335900906915,-0.000115991
ZIC3_HUMAN.H10MO.C,30505,8.84641831744e-06,-0.000686318
ISL2_HUMAN.H10MO.D,6822,0.000453907605405,-0.000179857
ZIC2_HUMAN.H10MO.C,58217,0.0010262432621,-0.00126916
EGR2_HUMAN.H10MO.C,95274,0.00165920613344,-0.00198615
FOXQ1_HUMAN.H10MO.C,20827,0.000298215928078,-0.000514299
ERR3_HUMAN.H10MO.B,4283,0.000124650831504,3.27826e-07
GMEB2_HUMAN.H10MO.D,9953,0.00062657673029,-0.00018841
