Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,15632,0.00028189856998,-0.000145763
HNF6_HUMAN.H10MO.C,19431,0.000620627203896,-0.000199109
FOXD3_HUMAN.H10MO.D,49910,0.000874517390074,-0.000450611
ZBTB6_HUMAN.H10MO.D,14184,0.000331997066246,-0.000112504
NR1H2_HUMAN.H10MO.D,17480,0.000685865057022,-0.000148773
ETV2_HUMAN.H10MO.D,40696,0.00110783390289,-0.000398964
ETV3_HUMAN.H10MO.D,27718,0.000658667855275,-0.000227302
RFX5_HUMAN.H10MO.A,23829,0.000435393922009,-0.000129938
SCRT2_HUMAN.H10MO.D,23328,0.000746585573997,-5.69224e-05
ELF2_HUMAN.H10MO.C,59232,0.00133084808303,-0.000493169
MLXPL_HUMAN.H10MO.D,42412,0.000988501789571,-0.000351995
PAX6_HUMAN.H10MO.D,21846,0.000640877159534,-0.000172824
MAX_HUMAN.H10MO.A,46267,0.000815474417706,-0.000225753
KLF6_HUMAN.H10MO.D,67852,0.0012122605005,-0.000629812
HNF1B_HUMAN.H10MO.B,20440,0.000196527597224,-0.000197381
PBX2_HUMAN.H10MO.C,16788,0.000511583500901,-9.64105e-05
RXRA_HUMAN.H10MO.C,38517,0.00123708732915,-0.000470638
HESX1_HUMAN.H10MO.D,27115,0.000733169423318,-0.000176013
NFKB2_HUMAN.H10MO.D,19973,0.000461090994983,-8.25226e-05
HSF4_HUMAN.H10MO.D,6661,6.74802102189e-05,-8.22544e-05
ERR2_HUMAN.H10MO.A,10513,0.000288890391169,-6.59227e-05
ESX1_HUMAN.H10MO.D,29272,0.000487294023783,-0.000166595
AP2B_HUMAN.H10MO.B,79796,0.00165941377197,-0.000680625
SPI1_HUMAN.H10MO.A,55203,0.0014480007321,-0.000712991
MYBA_HUMAN.H10MO.D,32304,0.0004379229416,-0.000128269
GFI1B_HUMAN.H10MO.C,12916,0.000297848228223,-8.36849e-05
PO6F1_HUMAN.H10MO.D,24808,0.000635674863095,-0.000168085
ERR1_HUMAN.H10MO.D,53954,0.00144048223203,-0.000435978
PLAG1_HUMAN.H10MO.S,55489,0.0011904500275,-0.000568211
MAFA_HUMAN.H10MO.D,19231,0.000447726814668,-0.000180304
ELF1_HUMAN.H10MO.A,40049,0.000942557602951,-0.000292748
SPDEF_HUMAN.H10MO.D,22267,0.000451542836229,-0.000142306
GRHL1_HUMAN.H10MO.D,23707,0.000494417924971,-8.67844e-05
SCRT1_HUMAN.H10MO.D,17948,0.000516550818343,-0.000105768
FOXJ2_HUMAN.H10MO.C,50239,0.00146506179896,-0.000418931
ASCL2_HUMAN.H10MO.D,53908,0.00105884416129,-0.000650316
XBP1_HUMAN.H10MO.C,40508,0.00091889942126,-0.000302404
FOXF2_HUMAN.H10MO.D,27146,0.000689349832128,-0.000297427
NFIC_HUMAN.H10MO.A,21071,0.000576924748588,-0.00014016
MYC_HUMAN.H10MO.A,56265,0.00105273766061,-0.000336975
STA5B_HUMAN.H10MO.C,6863,0.000174469966264,-5.13494e-05
ATF2_HUMAN.H10MO.B,19140,0.000625374704942,-0.000171661
RELB_HUMAN.H10MO.C,22091,0.00044035665806,-5.79953e-05
HNF4G_HUMAN.H10MO.C,24607,0.000512781440438,-0.000201136
IRF4_HUMAN.H10MO.C,60615,0.00161980735413,-0.000812143
MEOX2_HUMAN.H10MO.D,25391,0.000832582297361,-0.000234038
DBP_HUMAN.H10MO.B,18964,0.000576759351071,-0.000140995
ANDR_HUMAN.H10MO.A,32082,0.000696015034016,-0.000262976
P63_HUMAN.H10MO.A,17942,0.000238942936982,-0.000120908
AIRE_HUMAN.H10MO.C,25574,0.000491736887095,-0.000140935
NFYA_HUMAN.H10MO.A,44124,0.000752518034153,-0.000114709
PO5F1_HUMAN.H10MO.A,28322,0.000499769760556,-0.000289381
SOX8_HUMAN.H10MO.D,15978,0.000603320324443,-0.000142843
THA_HUMAN.H10MO.C,20314,0.000418827036473,-0.000164866
INSM1_HUMAN.H10MO.C,65438,0.00170783179906,-0.000658393
CDX2_HUMAN.H10MO.C,18561,0.000519179509762,-0.0001342
ETS2_HUMAN.H10MO.C,49919,0.00110081349664,-0.000416517
ZN713_HUMAN.H10MO.D,85899,0.00188976710624,-0.00106221
MYF6_HUMAN.H10MO.C,12554,0.000359895604148,-8.64267e-05
RX_HUMAN.H10MO.D,25948,0.000461247472051,-0.000137836
GATA3_HUMAN.H10MO.C,16203,0.00058412568726,-0.000212282
ZN148_HUMAN.H10MO.D,87949,0.000443669938271,-0.000622243
PO3F4_HUMAN.H10MO.D,28097,0.000743435039587,-0.000230432
ZN784_HUMAN.H10MO.D,30933,0.000470298605911,-0.000176579
ZN524_HUMAN.H10MO.D,66141,0.00183854681491,-0.000611514
STAT6_HUMAN.H10MO.C,9223,0.00012365966263,-6.32107e-05
PAX1_HUMAN.H10MO.D,26381,0.000464617168327,-0.000138044
PRRX1_HUMAN.H10MO.D,5510,0.000121005300277,-3.14116e-05
ZIC4_HUMAN.H10MO.D,74466,0.001866260521,-0.000612795
CUX1_HUMAN.H10MO.C,21055,0.000609909111728,-7.72178e-05
BARH1_HUMAN.H10MO.D,24112,0.000507852259043,-0.000118196
NKX21_HUMAN.H10MO.D,10479,0.000288839434665,-6.09159e-05
HXD4_HUMAN.H10MO.D,17744,0.000511045251851,-0.000129938
PRRX2_HUMAN.H10MO.C,20618,0.000680668166929,-0.000113785
PO4F3_HUMAN.H10MO.D,54307,0.000813307257859,-0.000377238
HXB6_HUMAN.H10MO.D,26409,0.000654086446088,-0.000166655
NDF2_HUMAN.H10MO.D,45039,0.00119102021899,-0.000297844
HXD3_HUMAN.H10MO.D,19295,0.000607323585629,-0.000115186
SRF_HUMAN.H10MO.A,24474,0.000720337082696,-0.000225842
ITF2_HUMAN.H10MO.B,19321,0.000665890348966,-0.000119925
MYCN_HUMAN.H10MO.B,53784,0.00113618879517,-0.000280499
TFE2_HUMAN.H10MO.C,11579,0.000502805278148,-5.67138e-05
DLX5_HUMAN.H10MO.D,28187,0.000702647591843,-0.000204653
PURA_HUMAN.H10MO.D,61852,0.000468976978528,-0.000487447
ETV7_HUMAN.H10MO.D,17859,0.000569372918698,-0.000197053
NFIA_HUMAN.H10MO.C,25381,0.000589708618896,-0.000171363
LHX8_HUMAN.H10MO.D,14293,0.000578862693741,-0.000108004
COE1_HUMAN.H10MO.A,21603,0.000400404925148,-9.44436e-05
KLF8_HUMAN.H10MO.C,50225,0.00119871792141,-0.000295013
PEBB_HUMAN.H10MO.C,24068,0.000634418468802,-0.000188023
STA5A_HUMAN.H10MO.B,7181,-1.33504452482e-06,-5.32269e-05
FOS_HUMAN.H10MO.A,10635,0.000287629076934,-7.26283e-05
ZSC16_HUMAN.H10MO.D,15071,0.000388416923151,-0.000143111
TBX21_HUMAN.H10MO.D,20588,0.00068856680739,-0.000155091
GATA5_HUMAN.H10MO.D,12411,0.000307144617995,-0.000103295
HES1_HUMAN.H10MO.D,48874,0.00133362875529,-0.000392318
TFCP2_HUMAN.H10MO.D,24419,0.000427981790007,-0.000178367
TGIF1_HUMAN.H10MO.S,9149,0.00018217773131,-8.60393e-05
BACH1_HUMAN.H10MO.A,15599,0.000401450505994,-0.000132054
GSX1_HUMAN.H10MO.D,24795,0.000783322132124,-0.000157446
TGIF1_HUMAN.H10MO.D,18557,0.000543948239728,-9.67383e-05
SOX10_HUMAN.H10MO.D,19686,0.00044061242094,-0.000152797
RARB_HUMAN.H10MO.D,26360,0.000397352012138,-0.000154823
FOXC2_HUMAN.H10MO.D,13681,0.000430766721401,-7.53999e-05
NFAC4_HUMAN.H10MO.C,28410,0.000737439576174,-0.000358373
TBX5_HUMAN.H10MO.D,14350,0.000524284599105,-0.000114381
