Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,14679,0.000318579356961,-0.000410974
HNF6_HUMAN.H10MO.C,12152,0.000103846625336,-0.000324696
FOXD3_HUMAN.H10MO.D,28003,-0.000363310145061,-0.000425339
ZBTB6_HUMAN.H10MO.D,16176,-0.000106061109927,-0.000501662
NR1H2_HUMAN.H10MO.D,13043,-0.000515641252134,-0.000232309
ETV2_HUMAN.H10MO.D,29969,8.23503922831e-07,-0.000571132
ETV3_HUMAN.H10MO.D,16051,0.00042589276366,-0.000418901
RFX5_HUMAN.H10MO.A,16924,0.000299243900537,-0.000262648
SCRT2_HUMAN.H10MO.D,10802,-0.000358799533985,-0.000132859
ELF2_HUMAN.H10MO.C,67006,-0.00015585379835,-0.00202698
MLXPL_HUMAN.H10MO.D,22980,4.55827195467e-06,-0.000625908
PAX6_HUMAN.H10MO.D,14435,-0.000121770452437,-0.000445455
MAX_HUMAN.H10MO.A,18691,-0.000528207602519,-0.000371516
KLF6_HUMAN.H10MO.D,61092,-0.000366214018326,-0.00134605
HNF1B_HUMAN.H10MO.B,14379,1.6593873552e-05,-0.000399739
PBX2_HUMAN.H10MO.C,9537,-0.000453760771358,-0.000270128
RXRA_HUMAN.H10MO.C,36058,-0.000272252092915,-0.00110233
HESX1_HUMAN.H10MO.D,16884,-0.000386508251037,-0.000360519
NFKB2_HUMAN.H10MO.D,14424,0.000179455627838,-0.000463933
HSF4_HUMAN.H10MO.D,6031,4.33390306218e-05,-0.000188351
ERR2_HUMAN.H10MO.A,6900,-4.25376822357e-05,-6.76215e-05
ESX1_HUMAN.H10MO.D,17932,0.000178937795815,-0.000376552
AP2B_HUMAN.H10MO.B,67277,-0.00104807469366,-0.00109336
SPI1_HUMAN.H10MO.A,89327,0.00155568447678,-0.0030843
MYBA_HUMAN.H10MO.D,17447,-0.00028839450396,-0.000379264
GFI1B_HUMAN.H10MO.C,7694,-0.000475143197129,-6.39558e-05
PO6F1_HUMAN.H10MO.D,15101,-0.000260795430265,-0.000236601
ERR1_HUMAN.H10MO.D,38688,0.000111151367333,-0.000737041
PLAG1_HUMAN.H10MO.S,70586,7.16094338485e-05,-0.0016562
MAFA_HUMAN.H10MO.D,14906,-0.000376546542971,-0.000199497
ELF1_HUMAN.H10MO.A,42347,-0.00101009020192,-0.00141844
SPDEF_HUMAN.H10MO.D,15897,-3.33898433391e-05,-0.000432819
GRHL1_HUMAN.H10MO.D,13721,-0.000590630280712,-0.000217795
SCRT1_HUMAN.H10MO.D,9565,-0.000498766898152,-0.000180453
FOXJ2_HUMAN.H10MO.C,30293,-0.000206940866317,-0.000634611
ASCL2_HUMAN.H10MO.D,66856,0.000169280113404,-0.00174072
XBP1_HUMAN.H10MO.C,17714,-0.000557846392765,-0.000364035
FOXF2_HUMAN.H10MO.D,17458,0.000349693575098,-0.000322282
NFIC_HUMAN.H10MO.A,15254,-0.000145138202573,-0.000266939
MYC_HUMAN.H10MO.A,24326,5.86750609093e-05,-0.000502855
STA5B_HUMAN.H10MO.C,5436,-0.000107982157516,-0.000131398
ATF2_HUMAN.H10MO.B,10067,0.000475123512128,-0.000216961
RELB_HUMAN.H10MO.C,16368,-0.000330943620939,-0.000510037
HNF4G_HUMAN.H10MO.C,16742,0.000140963667994,-0.000354111
IRF4_HUMAN.H10MO.C,89063,0.00110082758245,-0.00288197
MEOX2_HUMAN.H10MO.D,18324,-0.000133833501412,-0.000514418
DBP_HUMAN.H10MO.B,10125,-0.00034427614324,-0.000195533
ANDR_HUMAN.H10MO.A,14173,-8.14433016846e-05,-0.000315338
P63_HUMAN.H10MO.A,10994,-0.000553624489851,-0.000219017
AIRE_HUMAN.H10MO.C,16925,0.000227507912195,-0.000310123
NFYA_HUMAN.H10MO.A,19003,-0.000264802858665,-0.000422448
PO5F1_HUMAN.H10MO.A,13980,0.000158180238171,-0.000333339
SOX8_HUMAN.H10MO.D,8783,0.00016523835035,-0.000208646
THA_HUMAN.H10MO.C,13339,-0.000123764765727,-6.50883e-05
INSM1_HUMAN.H10MO.C,48261,-0.0011247431637,-0.00144702
CDX2_HUMAN.H10MO.C,13110,-0.000103342490079,-0.000155538
ETS2_HUMAN.H10MO.C,49129,0.000518378819054,-0.00164437
ZN713_HUMAN.H10MO.D,50515,-0.000264481228108,-0.00118279
MYF6_HUMAN.H10MO.C,9073,-2.86598062798e-05,-0.000319898
RX_HUMAN.H10MO.D,14749,0.000772858967351,-0.00020659
GATA3_HUMAN.H10MO.C,19400,-0.00113257967346,-0.000446916
ZN148_HUMAN.H10MO.D,51767,9.96451786013e-05,-0.000798702
PO3F4_HUMAN.H10MO.D,15912,0.000389425162188,-0.000380725
ZN784_HUMAN.H10MO.D,20263,-0.000128759373301,-0.000695288
ZN524_HUMAN.H10MO.D,43321,0.000195935450076,-0.000993311
STAT6_HUMAN.H10MO.C,7075,0.000171434803044,-0.000225008
PAX1_HUMAN.H10MO.D,15045,0.0004527812182,-0.000346154
PRRX1_HUMAN.H10MO.D,3898,0.000206052711374,-0.000110984
ZIC4_HUMAN.H10MO.D,47948,-0.000639569225486,-0.00120243
CUX1_HUMAN.H10MO.C,12453,0.00023431351738,-0.000313669
BARH1_HUMAN.H10MO.D,15622,-0.000488729633904,-0.000367582
NKX21_HUMAN.H10MO.D,8190,-0.000344193335936,-0.000139356
HXD4_HUMAN.H10MO.D,11643,3.61550028958e-05,-0.000268698
PRRX2_HUMAN.H10MO.C,13080,2.9193815148e-05,-0.000314891
PO4F3_HUMAN.H10MO.D,33356,0.000135119941375,-0.00116295
HXB6_HUMAN.H10MO.D,13806,-6.42156125792e-05,-0.000478625
NDF2_HUMAN.H10MO.D,22076,0.000152451964679,-0.000512421
HXD3_HUMAN.H10MO.D,13090,0.000278442766653,-0.000313222
SRF_HUMAN.H10MO.A,22404,0.000534896385741,-0.000335604
ITF2_HUMAN.H10MO.B,10549,-0.000282193401946,-0.000258267
MYCN_HUMAN.H10MO.B,22780,-5.43194475049e-05,-0.000470072
TFE2_HUMAN.H10MO.C,7918,0.000302838696843,-6.1661e-05
FLI1_HUMAN.H10MO.A,40898,-0.000358089929091,-0.00136542
PURA_HUMAN.H10MO.D,77677,0.000466611055838,-0.00167426
ETV7_HUMAN.H10MO.D,13238,-0.000206272952239,-0.000579029
NFIA_HUMAN.H10MO.C,16377,-0.000143999285833,-0.000232309
LHX8_HUMAN.H10MO.D,9001,0.000271079200548,-0.00020802
COE1_HUMAN.H10MO.A,17992,9.80528704688e-05,-0.000434786
KLF8_HUMAN.H10MO.C,29360,-0.000343875967831,-0.000555247
PTF1A_HUMAN.H10MO.C,16641,0.00029227862469,-0.00033775
STA5A_HUMAN.H10MO.B,5392,-0.000284242591436,-0.000101268
FOS_HUMAN.H10MO.A,5891,6.14451873751e-05,-0.000166178
ZSC16_HUMAN.H10MO.D,7750,0.000178577587797,-9.11951e-05
TBX21_HUMAN.H10MO.D,11503,-0.000127372046784,-0.000277609
GATA5_HUMAN.H10MO.D,12369,-0.000131421360834,-0.00027135
HES1_HUMAN.H10MO.D,32180,-0.00126543344838,-0.000445187
TFCP2_HUMAN.H10MO.D,19351,2.1455341948e-05,-0.000273079
TGIF1_HUMAN.H10MO.S,4978,6.12167206562e-05,-0.000104845
BACH1_HUMAN.H10MO.A,10362,0.000102129695161,-0.000128925
GSX1_HUMAN.H10MO.D,16460,0.000292654470229,-0.000558436
TGIF1_HUMAN.H10MO.D,11309,-3.65194672823e-05,-0.000169098
SOX10_HUMAN.H10MO.D,14425,0.000396714627793,-0.000251383
RARB_HUMAN.H10MO.D,12555,0.0003123173207,-0.000143975
FOXC2_HUMAN.H10MO.D,9342,-0.000148156406246,-0.000232816
NFAC4_HUMAN.H10MO.C,23643,0.000259290487018,-0.000743657
TBX5_HUMAN.H10MO.D,10582,0.000319140655488,-0.000361621
UNC4_HUMAN.H10MO.D,19756,-1.90626118263e-05,-0.000555426
MAFG_HUMAN.H10MO.S,3988,-0.000215947597074,-5.92768e-05
DRGX_HUMAN.H10MO.D,16351,4.11331908581e-05,-0.000501275
BHE41_HUMAN.H10MO.D,19838,-0.000163533259864,-0.000383943
GLIS3_HUMAN.H10MO.D,58367,0.00107328775009,-0.00145349
