Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,11320,0.000571973636618,-7.09593e-05
HNF6_HUMAN.H10MO.C,14644,0.00087547124371,-3.56436e-05
FOXD3_HUMAN.H10MO.D,35353,0.00198644661753,-0.000128031
ZBTB6_HUMAN.H10MO.D,9775,0.00059255190283,-2.98023e-05
NR1H2_HUMAN.H10MO.D,12878,0.000608241515883,-5.52237e-05
ETV2_HUMAN.H10MO.D,29062,0.00178322510073,-9.08077e-05
ETV3_HUMAN.H10MO.D,19574,0.00111984700223,-2.18451e-05
RFX5_HUMAN.H10MO.A,17763,0.000690645381554,-2.79248e-05
SCRT2_HUMAN.H10MO.D,16168,0.00062468409917,1.48714e-05
ELF2_HUMAN.H10MO.C,78249,0.0029774703538,-0.000458509
MLXPL_HUMAN.H10MO.D,31332,0.00096501146951,-5.88298e-05
PAX6_HUMAN.H10MO.D,16599,0.000593947553104,-9.34005e-05
MAX_HUMAN.H10MO.A,33438,0.00150085811328,-3.53754e-05
KLF6_HUMAN.H10MO.D,48163,0.00196090726422,-0.000267476
HNF1B_HUMAN.H10MO.B,16028,0.000678960165729,-7.26879e-05
PBX2_HUMAN.H10MO.C,12959,0.000641768675994,-1.61529e-05
RXRA_HUMAN.H10MO.C,26502,0.00114524115795,-0.000205159
GLIS2_HUMAN.H10MO.D,79261,0.00376158461314,-0.000236481
NFKB2_HUMAN.H10MO.D,14975,0.000623379676948,-6.97374e-05
HSF4_HUMAN.H10MO.D,4783,0.000193452714345,-4.86076e-05
ERR2_HUMAN.H10MO.A,7708,0.000361797218788,-6.55353e-05
ESX1_HUMAN.H10MO.D,21494,0.00105537457028,-4.62234e-05
AP2B_HUMAN.H10MO.B,59717,0.00280074859813,-0.000236571
SPI1_HUMAN.H10MO.A,37681,0.00192038439479,-0.000282019
MYBA_HUMAN.H10MO.D,22348,0.000777007485864,-3.28124e-05
GFI1B_HUMAN.H10MO.C,9960,0.000354333388851,-4.10676e-05
PO6F1_HUMAN.H10MO.D,18763,0.000639416051919,-5.26011e-05
ERR1_HUMAN.H10MO.D,37821,0.00204987131875,-0.000143498
PLAG1_HUMAN.H10MO.S,75046,0.0022241031362,-0.000414997
MAFA_HUMAN.H10MO.D,14048,0.000732615799471,-6.90222e-05
ELF1_HUMAN.H10MO.A,27040,0.00173022145554,-0.000148386
SPDEF_HUMAN.H10MO.D,16625,0.000786159454685,-8.67248e-05
GRHL1_HUMAN.H10MO.D,18164,0.000640088210732,1.81794e-05
SCRT1_HUMAN.H10MO.D,12242,0.000507330168735,1.04606e-05
FOXJ2_HUMAN.H10MO.C,36111,0.00191274372745,-8.2761e-05
ASCL2_HUMAN.H10MO.D,71672,0.00262383468748,-0.000255793
XBP1_HUMAN.H10MO.C,28304,0.00125327847689,5.0962e-05
FOXF2_HUMAN.H10MO.D,20091,0.000846072433992,-3.29912e-05
NFIC_HUMAN.H10MO.A,15746,0.000509284116064,-5.10216e-05
MYC_HUMAN.H10MO.A,40587,0.00189619128328,-9.17614e-05
STA5B_HUMAN.H10MO.C,4917,0.000491652128543,-4.09782e-05
ATF2_HUMAN.H10MO.B,14031,0.000714086911195,-2.40505e-05
RELB_HUMAN.H10MO.C,16454,0.000709052808289,-7.00653e-05
HNF4G_HUMAN.H10MO.C,17654,0.00104180678133,-5.78463e-05
IRF4_HUMAN.H10MO.C,81217,0.00297725071229,-0.000676483
MEOX2_HUMAN.H10MO.D,19013,0.00105436777809,-6.05285e-05
DBP_HUMAN.H10MO.B,13624,0.000448209590199,-3.40343e-05
ANDR_HUMAN.H10MO.A,20536,0.00119158165795,-4.70281e-05
P63_HUMAN.H10MO.A,13116,0.00065172046961,-4.83394e-05
AIRE_HUMAN.H10MO.C,18828,0.00104723545569,-2.39611e-05
NFYA_HUMAN.H10MO.A,29085,0.00123523933499,5.54323e-05
PO5F1_HUMAN.H10MO.A,19150,0.000778334398723,6.61314e-05
SOX8_HUMAN.H10MO.D,11945,0.000633224793879,-1.69575e-05
THA_HUMAN.H10MO.C,14666,0.000760055915694,-6.33895e-05
