Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,10597,8.5412902936e-06,-0.000114501
ATF2_HUMAN.H10MO.B,7272,4.02927741777e-05,-6.65486e-05
FOXD3_HUMAN.H10MO.D,19665,0.000754413167988,-0.000631779
ZBTB6_HUMAN.H10MO.D,11952,0.000909074226506,-0.000186324
NR1H2_HUMAN.H10MO.D,8885,0.000238156817932,-0.000124186
ETV2_HUMAN.H10MO.D,22402,-0.000242957867892,-0.000732869
ETV3_HUMAN.H10MO.D,11571,0.000868036416032,-2.56896e-05
RFX5_HUMAN.H10MO.A,12178,7.8142007087e-05,-0.000298709
SCRT2_HUMAN.H10MO.D,7647,5.19410779507e-05,-8.10027e-05
ELF2_HUMAN.H10MO.C,55811,0.00325066599303,-0.00186935
MLXPL_HUMAN.H10MO.D,15745,0.00030170479477,-1.3262e-05
PAX6_HUMAN.H10MO.D,9537,-0.000199755285837,-8.39829e-05
MAX_HUMAN.H10MO.A,12452,0.000295465594631,-2.20537e-06
KLF6_HUMAN.H10MO.D,99209,0.00156960405077,-0.00257722
HNF1B_HUMAN.H10MO.B,9558,-0.000337938015019,-6.98566e-05
PBX2_HUMAN.H10MO.C,6910,-0.000676034771957,-0.000118881
RXRA_HUMAN.H10MO.C,29179,0.0014399920636,-0.000697613
HESX1_HUMAN.H10MO.D,11444,-0.000527686161731,-0.000194579
NFKB2_HUMAN.H10MO.D,10488,0.000947430092887,6.71446e-05
HSF4_HUMAN.H10MO.D,4425,0.000524786574531,-7.92742e-06
ERR2_HUMAN.H10MO.A,4590,0.000268425589594,-2.0057e-05
ESX1_HUMAN.H10MO.D,11549,0.00142618440962,-0.000114202
AP2B_HUMAN.H10MO.B,48341,-0.00133347455384,-0.000947654
SPI1_HUMAN.H10MO.A,75087,0.0034399279419,-0.00257051
MYBA_HUMAN.H10MO.D,11556,0.000568584879737,-6.41346e-05
GFI1B_HUMAN.H10MO.C,5074,0.000376380078903,-4.41372e-05
PO6F1_HUMAN.H10MO.D,10349,0.000210268974147,-0.000117749
ERR1_HUMAN.H10MO.D,28082,0.000908894456292,-0.000680447
IRF1_HUMAN.H10MO.A,77571,0.0014907677177,-0.00214568
MAFA_HUMAN.H10MO.D,11289,0.000622846367099,-0.000193
ELF1_HUMAN.H10MO.A,32381,0.00176090162044,-0.00073266
SPDEF_HUMAN.H10MO.D,11084,-0.0010159639437,-0.000147849
GRHL1_HUMAN.H10MO.D,9587,-0.000138876257183,-6.31511e-05
SCRT1_HUMAN.H10MO.D,6544,-0.000202890134836,1.28746e-05
FOXJ2_HUMAN.H10MO.C,21399,9.30594004445e-05,-0.000447333
ASCL2_HUMAN.H10MO.D,50631,0.00204309937376,-0.00165489
XBP1_HUMAN.H10MO.C,12182,0.000784820786858,-0.000115126
FOXF2_HUMAN.H10MO.D,12163,-0.000523215546237,-9.25064e-05
NFIC_HUMAN.H10MO.A,10876,-0.000415001982938,-0.000198305
MYC_HUMAN.H10MO.A,16043,0.000569350376636,-0.000230491
STA5B_HUMAN.H10MO.C,3790,0.000419356168133,-0.000101209
RELB_HUMAN.H10MO.C,11409,0.000502669293425,5.24521e-06
HNF4G_HUMAN.H10MO.C,12232,-0.000808532360521,-0.000176638
NFYB_HUMAN.H10MO.A,11561,0.000380138917811,6.74129e-05
MEOX2_HUMAN.H10MO.D,12534,0.000702027970483,-0.00020656
DBP_HUMAN.H10MO.B,6728,0.000740931528748,-9.84967e-05
ANDR_HUMAN.H10MO.A,10282,0.000394087974706,8.01682e-05
P63_HUMAN.H10MO.A,7577,0.000617536198717,-0.000159234
AIRE_HUMAN.H10MO.C,11898,0.000413676975168,-0.000263214
NFYA_HUMAN.H10MO.A,12580,0.00085847350258,-1.51694e-05
PO5F1_HUMAN.H10MO.A,10286,0.000636233542366,-0.000257432
SOX8_HUMAN.H10MO.D,6101,0.000316178783052,-0.000140607
THA_HUMAN.H10MO.C,10182,0.00013625058019,-0.000134379
INSM1_HUMAN.H10MO.C,36193,0.000761281414856,-0.00108168
CDX2_HUMAN.H10MO.C,8763,0.000113977657017,-0.000159115
ETS2_HUMAN.H10MO.C,38403,0.00189054264037,-0.0010103
ZN713_HUMAN.H10MO.D,87931,0.00436262215338,-0.00285265
MYF6_HUMAN.H10MO.C,6507,0.0002462349592,-0.000111222
RX_HUMAN.H10MO.D,9353,-0.000165219630392,-9.95696e-05
GATA3_HUMAN.H10MO.C,16209,0.000530697229766,-0.000445992
ZN148_HUMAN.H10MO.D,83407,0.00137829017154,-0.00169843
PO3F4_HUMAN.H10MO.D,11036,0.000225962199856,-0.000191301
ZN784_HUMAN.H10MO.D,14785,-0.000191906450514,-0.000559986
ZN524_HUMAN.H10MO.D,32268,0.00064658031066,-0.000693947
STAT6_HUMAN.H10MO.C,4831,-8.70255512547e-05,-9.77516e-06
PAX1_HUMAN.H10MO.D,10158,-4.4833262256e-05,1.12057e-05
PRRX1_HUMAN.H10MO.D,2702,0.000421970380352,6.39856e-05
ZIC4_HUMAN.H10MO.D,33536,-0.000485507112006,-0.000647604
CUX1_HUMAN.H10MO.C,9010,0.000397196858812,-0.000136912
BARH1_HUMAN.H10MO.D,10347,-0.000179651787942,-0.000124902
NKX21_HUMAN.H10MO.D,5613,0.000171986229914,-9.41157e-05
HXD4_HUMAN.H10MO.D,7719,-0.000205135065783,-3.10242e-05
