Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,17177,0.00054351456114,-3.59714e-05
ATF2_HUMAN.H10MO.B,21805,0.000469201347327,1.15931e-05
FOXD3_HUMAN.H10MO.D,56920,0.00127773237466,0.000322253
ZBTB6_HUMAN.H10MO.D,16784,0.000423510295185,1.04606e-05
NR1H2_HUMAN.H10MO.D,19202,0.000376536335502,7.56979e-06
ETV2_HUMAN.H10MO.D,46943,0.00111229215793,0.000158519
ETV3_HUMAN.H10MO.D,30877,0.000746918879038,-1.40369e-05
RFX5_HUMAN.H10MO.A,27586,0.00035631255275,3.30508e-05
SCRT2_HUMAN.H10MO.D,26008,0.000504189300907,-1.25766e-05
ELF2_HUMAN.H10MO.C,70008,0.0014556852364,0.000242203
NRF1_HUMAN.H10MO.A,83329,0.00133176673365,0.000252038
MLXPL_HUMAN.H10MO.D,47650,0.00123680196523,-6.83665e-05
PAX6_HUMAN.H10MO.D,24476,0.000651949748509,-1.93417e-05
MAX_HUMAN.H10MO.A,51803,0.00117276934953,-2.44975e-05
KLF6_HUMAN.H10MO.D,78110,0.00172654376221,0.00024426
HNF1B_HUMAN.H10MO.B,23777,0.000782613064199,2.3216e-05
PBX2_HUMAN.H10MO.C,19165,0.000541815745376,4.16636e-05
RXRA_HUMAN.H10MO.C,42672,0.00093790469809,6.04093e-05
GLIS2_HUMAN.H10MO.D,67142,0.00142777934387,0.000479609
NFKB2_HUMAN.H10MO.D,22475,0.000619684146255,-8.43406e-06
HSF4_HUMAN.H10MO.D,7938,0.000141421642723,-2.5183e-05
ERR2_HUMAN.H10MO.A,11295,0.000396584205808,-1.62423e-05
ESX1_HUMAN.H10MO.D,33130,0.000646005294604,6.65784e-05
AP2B_HUMAN.H10MO.B,92917,0.00197504537535,0.000159502
SPI1_HUMAN.H10MO.A,66957,0.00169795964771,4.42564e-05
MYBA_HUMAN.H10MO.D,36367,0.000667388730611,-9.74536e-06
GFI1B_HUMAN.H10MO.C,14635,0.00023775231107,1.48714e-05
PO6F1_HUMAN.H10MO.D,29095,0.000685630243615,7.86781e-06
ERR1_HUMAN.H10MO.D,59638,0.00147163920408,4.04119e-05
PLAG1_HUMAN.H10MO.S,63111,0.00187099247513,0.000245303
MAFA_HUMAN.H10MO.D,20450,0.00049325807857,-2.74181e-06
ELF1_HUMAN.H10MO.A,45494,0.000965370861417,0.00012219
SPDEF_HUMAN.H10MO.D,24988,0.000706522897978,-8.34465e-06
GRHL1_HUMAN.H10MO.D,27298,0.000544494392532,2.50936e-05
SCRT1_HUMAN.H10MO.D,19916,0.000609557682035,-4.29153e-06
FOXJ2_HUMAN.H10MO.C,57794,0.00119012025709,0.000274539
ASCL2_HUMAN.H10MO.D,61020,0.00154101926117,0.00035879
XBP1_HUMAN.H10MO.C,45619,0.00107143702174,1.01328e-05
FOXF2_HUMAN.H10MO.D,31343,0.000640330106514,0.000110149
NFIC_HUMAN.H10MO.A,23335,0.000424260940958,-3.27826e-07
MYC_HUMAN.H10MO.A,63401,0.00139437114829,-3.8147e-06
STA5B_HUMAN.H10MO.C,7928,0.000238022166119,2.17557e-06
RELB_HUMAN.H10MO.C,25396,0.000831480638524,-2.79546e-05
HNF4G_HUMAN.H10MO.C,26296,0.000484944400713,4.38094e-06
IRF4_HUMAN.H10MO.C,72842,0.001828873166,0.000127286
MEOX2_HUMAN.H10MO.D,29252,0.000915320619418,3.85642e-05
DBP_HUMAN.H10MO.B,21861,0.000399089745322,1.08778e-05
ANDR_HUMAN.H10MO.A,36671,0.000730139619135,8.39531e-05
P63_HUMAN.H10MO.A,19560,0.000390237192824,-8.04663e-07
AIRE_HUMAN.H10MO.C,29035,0.00050442420955,5.56111e-05
NFYA_HUMAN.H10MO.A,48938,0.00101001404632,9.60231e-05
PO5F1_HUMAN.H10MO.A,31737,0.000903119813782,5.54621e-05
SOX8_HUMAN.H10MO.D,17982,0.00056976140237,3.59714e-05
THA_HUMAN.H10MO.C,21520,0.000514003710306,8.9407e-07
INSM1_HUMAN.H10MO.C,73335,0.00151724290887,0.0001553
CDX2_HUMAN.H10MO.C,21535,0.000558419843287,2.94745e-05
ETS2_HUMAN.H10MO.C,56949,0.00124947325111,0.000123709
ZN713_HUMAN.H10MO.D,51616,0.00132335077829,0.000264794
MYF6_HUMAN.H10MO.C,13985,0.000396511365579,-2.05636e-05
RX_HUMAN.H10MO.D,28312,0.000523716365062,5.47767e-05
GATA3_HUMAN.H10MO.C,19244,0.000651624479069,4.82798e-05
ZN148_HUMAN.H10MO.D,94941,0.000951059785948,0.000377208
