Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,16555,-0.000353860694888,-2.79546e-05
ATF2_HUMAN.H10MO.B,11733,-0.000281123018928,5.98133e-05
FOXD3_HUMAN.H10MO.D,32335,0.000406227408014,-0.000281453
ZBTB6_HUMAN.H10MO.D,18034,0.000219910485867,-1.38879e-05
NR1H2_HUMAN.H10MO.D,14057,0.000579432876857,-6.13034e-05
ETV2_HUMAN.H10MO.D,35185,5.566453654e-05,-0.000217944
ETV3_HUMAN.H10MO.D,18479,-5.90053993769e-05,4.86374e-05
RFX5_HUMAN.H10MO.A,19897,-0.000507330412511,1.45137e-05
SCRT2_HUMAN.H10MO.D,12533,-0.00136513799182,5.34058e-05
ELF2_HUMAN.H10MO.C,75592,0.00371449147641,-0.000395358
MLXPL_HUMAN.H10MO.D,27135,0.000926943891692,3.40044e-05
PAX6_HUMAN.H10MO.D,16188,-0.00018470496765,4.45545e-05
MAX_HUMAN.H10MO.A,21747,-0.000498302539142,7.80821e-06
KLF6_HUMAN.H10MO.D,70110,0.000999553241899,-0.000226915
HNF1B_HUMAN.H10MO.B,16101,7.70548200725e-05,-5.78165e-05
PBX2_HUMAN.H10MO.C,11606,0.000249324174454,1.75536e-05
RXRA_HUMAN.H10MO.C,40606,0.000492115461325,-0.000409305
GLIS2_HUMAN.H10MO.D,67267,0.000433484863019,-0.000128359
NFKB2_HUMAN.H10MO.D,16102,0.000545407104268,0.000150979
HSF4_HUMAN.H10MO.D,6618,0.000272237469267,-1.91033e-05
ERR2_HUMAN.H10MO.A,7619,-0.000286411695707,-1.12057e-05
ESX1_HUMAN.H10MO.D,19505,0.000475627814716,-0.000133842
AP2B_HUMAN.H10MO.B,76533,0.000782167217921,5.92768e-05
SPI1_HUMAN.H10MO.A,99727,0.00359510763404,-0.00116602
MYBA_HUMAN.H10MO.D,20074,-0.000440703385164,5.72205e-05
GFI1B_HUMAN.H10MO.C,8894,0.000109099357239,1.71065e-05
PO6F1_HUMAN.H10MO.D,17245,0.000572385648862,-7.69794e-05
ERR1_HUMAN.H10MO.D,43264,-0.000695144687753,-5.96046e-05
PLAG1_HUMAN.H10MO.S,79906,0.00150474060371,-0.000402153
MAFA_HUMAN.H10MO.D,16506,0.000479525034193,-7.03037e-05
ELF1_HUMAN.H10MO.A,46767,0.000846250236746,-2.95639e-05
SPDEF_HUMAN.H10MO.D,18303,-0.000133137754698,4.6283e-05
GRHL1_HUMAN.H10MO.D,16483,0.000625894107856,-1.90139e-05
SCRT1_HUMAN.H10MO.D,10691,0.000691641078549,-2.76864e-05
FOXJ2_HUMAN.H10MO.C,33312,0.00061958357383,-0.000344187
ASCL2_HUMAN.H10MO.D,77281,0.00254143643618,-0.000676841
XBP1_HUMAN.H10MO.C,19683,0.000261648031717,-4.57168e-05
FOXF2_HUMAN.H10MO.D,20037,-5.54398929895e-05,-0.000155926
NFIC_HUMAN.H10MO.A,17529,0.000573013584665,-3.45707e-05
MYC_HUMAN.H10MO.A,27863,-0.000579245136588,-1.73151e-05
STA5B_HUMAN.H10MO.C,6278,0.000439517084425,7.689e-06
RELB_HUMAN.H10MO.C,18663,0.000674114564008,5.92768e-05
HNF4G_HUMAN.H10MO.C,18871,0.00052535128341,-7.58171e-05
NFYB_HUMAN.H10MO.A,19945,-0.00048955163405,3.26335e-05
MEOX2_HUMAN.H10MO.D,20385,0.000624773902084,-4.0859e-05
DBP_HUMAN.H10MO.B,11705,8.8209346363e-05,3.06666e-05
ANDR_HUMAN.H10MO.A,16162,0.000737934880941,8.73208e-05
P63_HUMAN.H10MO.A,12027,0.00131919104433,6.91414e-06
AIRE_HUMAN.H10MO.C,18944,-0.000299355789793,7.17342e-05
NFYA_HUMAN.H10MO.A,21758,-0.00154822595859,5.87702e-05
PO5F1_HUMAN.H10MO.A,15930,0.000659519213555,-0.000165224
SOX8_HUMAN.H10MO.D,10004,-0.00030141520787,3.34382e-05
THA_HUMAN.H10MO.C,15392,6.25982713131e-05,-4.80711e-05
INSM1_HUMAN.H10MO.C,54185,-0.000737739755249,-0.000125587
CDX2_HUMAN.H10MO.C,14777,0.000723830254183,-5.98431e-05
ETS2_HUMAN.H10MO.C,54633,0.00233000629853,-0.000169814
ZN713_HUMAN.H10MO.D,57929,0.00163156424937,-0.00113598
MYF6_HUMAN.H10MO.C,10136,8.50977335065e-05,4.67896e-06
RX_HUMAN.H10MO.D,15722,0.000142806845116,7.03037e-05
GATA3_HUMAN.H10MO.C,21583,0.000149173807619,-0.000402868
ZN148_HUMAN.H10MO.D,56409,0.000710038755182,-0.000304997
PO3F4_HUMAN.H10MO.D,18727,0.000229479826173,-0.000109732
ZN784_HUMAN.H10MO.D,22997,0.000816126354498,-5.9247e-05
ZN524_HUMAN.H10MO.D,49580,-0.000879964661694,-0.000114769
STAT6_HUMAN.H10MO.C,8021,0.000110440616362,8.2165e-05
PAX1_HUMAN.H10MO.D,16728,-0.00052482798038,0.000116378
PRRX1_HUMAN.H10MO.D,4172,-0.000277423012554,8.66354e-05
ZIC4_HUMAN.H10MO.D,54617,0.00194694267499,-1.54376e-05
CUX1_HUMAN.H10MO.C,14462,-0.000683974516693,1.88947e-05
BARH1_HUMAN.H10MO.D,18033,0.00051606516302,-3.62992e-05
NKX21_HUMAN.H10MO.D,9165,0.000436184142475,5.56111e-05
HXD4_HUMAN.H10MO.D,13477,0.000994944130628,-0.000127524
PRRX2_HUMAN.H10MO.C,15092,0.00124879791111,-7.69496e-05
PO4F3_HUMAN.H10MO.D,35290,0.00114132307428,-0.000103921
HXB6_HUMAN.H10MO.D,15118,1.73528034093e-05,9.61125e-05
NDF2_HUMAN.H10MO.D,24941,-0.000280075951106,6.49691e-06
HXD3_HUMAN.H10MO.D,15394,-0.000765499813925,4.76241e-05
SRF_HUMAN.H10MO.A,25373,-9.54129392957e-05,-4.70281e-05
ITF2_HUMAN.H10MO.B,12157,0.000646341209546,8.16584e-05
MYCN_HUMAN.H10MO.B,26102,-0.000121477250383,8.19266e-05
TFE2_HUMAN.H10MO.C,9095,0.00069488888576,1.92523e-05
FLI1_HUMAN.H10MO.A,45933,0.00260590546881,-1.81198e-05
PURA_HUMAN.H10MO.D,84276,0.00216624594306,-0.00057587
ETV7_HUMAN.H10MO.D,14979,-0.000951991616445,5.26607e-05
NFIA_HUMAN.H10MO.C,18909,0.000203362483958,-7.30157e-06
LHX8_HUMAN.H10MO.D,10302,0.000146844324086,3.8147e-06
COE1_HUMAN.H10MO.A,20296,0.000163128098356,0.000112772
KLF8_HUMAN.H10MO.C,32671,0.000732374757481,-2.36928e-05
PTF1A_HUMAN.H10MO.C,19644,0.000768104583723,-7.63834e-05
STA5A_HUMAN.H10MO.B,6428,0.000422733498583,7.15256e-05
FOS_HUMAN.H10MO.A,6744,-7.24730730887e-05,3.03686e-05
ZSC16_HUMAN.H10MO.D,8854,-5.50081977549e-05,-3.80874e-05
TBX21_HUMAN.H10MO.D,12885,-0.000440147759123,5.76973e-05
GATA5_HUMAN.H10MO.D,13995,0.000443891608899,-0.000176787
HES1_HUMAN.H10MO.D,36803,-0.000421949756892,-1.96695e-06
TFCP2_HUMAN.H10MO.D,21762,-0.000869629549993,0.000148207
TGIF1_HUMAN.H10MO.S,5681,0.000107340281169,-1.95801e-05
BACH1_HUMAN.H10MO.A,11778,0.000422933869978,4.37498e-05
GSX1_HUMAN.H10MO.D,18308,0.000655353099606,-0.000105113
TGIF1_HUMAN.H10MO.D,12682,-0.00027904009852,9.74536e-06
SOX10_HUMAN.H10MO.D,15925,0.0017447954837,-5.96941e-05
RARB_HUMAN.H10MO.D,14241,-0.00133627303485,-5.26309e-05
FOXC2_HUMAN.H10MO.D,10585,0.000204138414878,-6.99162e-05
NFAC4_HUMAN.H10MO.C,26999,0.000448347701541,-0.000317752
TBX5_HUMAN.H10MO.D,11656,0.000869089988972,-6.33299e-05
UNC4_HUMAN.H10MO.D,21811,0.000275385223482,-1.5825e-05
MAFG_HUMAN.H10MO.S,4424,2.84245337873e-05,2.3514e-05
DRGX_HUMAN.H10MO.D,17855,0.00103810008423,-9.80496e-06
BHE41_HUMAN.H10MO.D,22883,0.000445575416057,0.00012064
GLIS3_HUMAN.H10MO.D,67134,0.00060684723802,-0.000153661
GBX2_HUMAN.H10MO.D,18579,7.98484898358e-05,-0.000122756
ELF3_HUMAN.H10MO.D,21229,-0.000179697817618,-0.00020051
TF2LX_HUMAN.H10MO.D,8172,-0.000488789254495,-6.04093e-05
TEAD3_HUMAN.H10MO.D,10539,0.000866404597992,2.52426e-05
