Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,11618,0.000337757728758,-7.12276e-06
HNF6_HUMAN.H10MO.C,15189,0.000362668551712,8.89897e-05
FOXD3_HUMAN.H10MO.D,35332,0.000648370437891,0.000463188
ZBTB6_HUMAN.H10MO.D,10153,0.00040094494805,3.82364e-05
NR1H2_HUMAN.H10MO.D,13037,0.000302290638179,2.22325e-05
ETV2_HUMAN.H10MO.D,29581,0.000437433608461,0.000265777
ETV3_HUMAN.H10MO.D,19800,0.00034919698475,5.72205e-05
RFX5_HUMAN.H10MO.A,18309,0.000499805647047,8.42512e-05
SCRT2_HUMAN.H10MO.D,16583,0.000261217371425,-2.69711e-05
ELF2_HUMAN.H10MO.C,79743,0.00135901097468,0.000599056
MLXPL_HUMAN.H10MO.D,31575,0.000820709326684,2.02656e-06
PAX6_HUMAN.H10MO.D,16739,0.000636011316544,-1.76728e-05
MAX_HUMAN.H10MO.A,34334,0.00081748283542,2.16961e-05
KLF6_HUMAN.H10MO.D,47881,0.000962838965619,0.000445783
HNF1B_HUMAN.H10MO.B,16654,0.000469650213374,4.81308e-05
PBX2_HUMAN.H10MO.C,13223,0.000424950176035,2.16365e-05
RXRA_HUMAN.H10MO.C,27226,0.000606791842602,0.000167549
GLIS2_HUMAN.H10MO.D,81192,0.00237108415673,0.000998855
NFKB2_HUMAN.H10MO.D,15288,0.000351946129494,-1.69277e-05
HSF4_HUMAN.H10MO.D,5010,8.390065093e-05,-1.21295e-05
ERR2_HUMAN.H10MO.A,8007,0.000225202579839,1.40071e-06
ESX1_HUMAN.H10MO.D,22541,0.000256426439668,6.55651e-05
AP2B_HUMAN.H10MO.B,59965,0.00108409168605,0.000388265
SPI1_HUMAN.H10MO.A,38053,0.000495507244843,0.000202924
MYBA_HUMAN.H10MO.D,23459,0.000646997859623,8.07047e-05
GFI1B_HUMAN.H10MO.C,10287,0.000421930277021,-1.07288e-06
PO6F1_HUMAN.H10MO.D,19290,0.000390286628877,2.30968e-05
ERR1_HUMAN.H10MO.D,38909,0.00108618109262,0.000143915
PLAG1_HUMAN.H10MO.S,75771,0.00147430604938,0.000636607
MAFA_HUMAN.H10MO.D,14251,0.000293114186508,4.50909e-05
ELF1_HUMAN.H10MO.A,27672,0.000549349187312,0.000163019
SPDEF_HUMAN.H10MO.D,16930,0.000418485019601,1.93715e-05
GRHL1_HUMAN.H10MO.D,18413,0.000465321886227,3.06666e-05
SCRT1_HUMAN.H10MO.D,12649,0.000318592254321,-6.94394e-06
FOXJ2_HUMAN.H10MO.C,36719,0.000670331162335,0.000421405
ASCL2_HUMAN.H10MO.D,72850,0.00188906924229,0.000965655
XBP1_HUMAN.H10MO.C,29324,0.000475196066954,4.90844e-05
FOXF2_HUMAN.H10MO.D,20013,0.000674520258433,0.00019747
NFIC_HUMAN.H10MO.A,15800,0.00026323990479,3.60906e-05
MYC_HUMAN.H10MO.A,41835,0.000638620335498,2.39909e-05
STA5B_HUMAN.H10MO.C,4965,3.37136457297e-05,1.41859e-05
ATF2_HUMAN.H10MO.B,14402,0.000281295891421,-1.07884e-05
RELB_HUMAN.H10MO.C,16777,0.000390404742414,4.32134e-06
HNF4G_HUMAN.H10MO.C,18042,0.000458856469321,3.36766e-05
IRF4_HUMAN.H10MO.C,82876,0.00143114499764,0.000666201
MEOX2_HUMAN.H10MO.D,20202,0.000497438219363,5.14686e-05
DBP_HUMAN.H10MO.B,14263,0.000458769895932,1.2368e-05
ANDR_HUMAN.H10MO.A,21458,0.000299285641481,0.000131547
P63_HUMAN.H10MO.A,13464,0.000226111147076,1.20401e-05
AIRE_HUMAN.H10MO.C,18955,0.000290026029757,5.27203e-05
NFYA_HUMAN.H10MO.A,30075,0.000515466108974,8.50856e-05
PO5F1_HUMAN.H10MO.A,19844,0.000577204240433,8.28803e-05
