Motif Name,Motif Count,AUPR Difference,MS Difference
ETS1_HUMAN.H10MO.C,10731,7.59371227731e-05,7.94828e-05
ATF2_HUMAN.H10MO.B,7415,-0.000612066838566,1.82092e-05
FOXD3_HUMAN.H10MO.D,20116,0.000250584655077,0.000221014
ZBTB6_HUMAN.H10MO.D,12578,0.000878647650941,7.9453e-05
NR1H2_HUMAN.H10MO.D,9384,-0.000121669790673,-2.02656e-05
ETV2_HUMAN.H10MO.D,22655,0.00160048891759,6.08265e-05
ETV3_HUMAN.H10MO.D,11556,0.000985287673364,4.80711e-05
RFX5_HUMAN.H10MO.A,12356,-0.0002262453866,-9.94503e-05
SCRT2_HUMAN.H10MO.D,8009,-0.000412691509187,5.71311e-05
ELF2_HUMAN.H10MO.C,54122,0.00153335715835,8.16286e-05
MLXPL_HUMAN.H10MO.D,16230,-0.000226051700324,0.000211895
PAX6_HUMAN.H10MO.D,9814,0.0012802546193,3.76105e-05
MAX_HUMAN.H10MO.A,13582,0.000232108256921,0.000103056
KLF6_HUMAN.H10MO.D,49087,0.00285126861789,4.6134e-05
HNF1B_HUMAN.H10MO.B,9781,-6.0579376208e-05,9.42945e-05
PBX2_HUMAN.H10MO.C,7044,-0.000203084803259,-2.05636e-06
RXRA_HUMAN.H10MO.C,29682,0.00169132312264,-0.000167102
HESX1_HUMAN.H10MO.D,12022,0.00125826385762,4.81009e-05
NFKB2_HUMAN.H10MO.D,11068,0.000861519257085,8.34763e-05
HSF4_HUMAN.H10MO.D,4168,-9.40622310988e-05,-1.44541e-05
ERR2_HUMAN.H10MO.A,4996,-0.000180349329409,3.8296e-05
ESX1_HUMAN.H10MO.D,11686,-0.000725884433942,0.00018844
AP2B_HUMAN.H10MO.B,49655,0.00124013904007,0.00012961
SPI1_HUMAN.H10MO.A,73458,0.00380972154816,-0.000304252
MYBA_HUMAN.H10MO.D,12335,-0.000102698304906,0.00011766
GFI1B_HUMAN.H10MO.C,5491,0.000429188454564,4.47035e-07
PO6F1_HUMAN.H10MO.D,10432,-0.000164127739463,8.66354e-05
ERR1_HUMAN.H10MO.D,28763,-0.000138761427426,-0.000173628
IRF1_HUMAN.H10MO.A,75189,0.005057519794,1.15931e-05
MAFA_HUMAN.H10MO.D,11089,0.000180133163529,-2.13683e-05
ELF1_HUMAN.H10MO.A,32357,0.000221178466455,0.000201941
SPDEF_HUMAN.H10MO.D,11856,-9.80638415656e-05,0.000128508
GRHL1_HUMAN.H10MO.D,9835,0.000789300623479,5.00679e-05
SCRT1_HUMAN.H10MO.D,6812,0.000285476522037,4.23789e-05
FOXJ2_HUMAN.H10MO.C,21337,0.00130017950998,2.0653e-05
ASCL2_HUMAN.H10MO.D,51032,0.000567472222415,-6.58631e-06
XBP1_HUMAN.H10MO.C,12865,0.000861181485274,-1.42455e-05
FOXF2_HUMAN.H10MO.D,11988,0.000808431743208,2.08318e-05
NFIC_HUMAN.H10MO.A,11083,6.9786772154e-05,5.38528e-05
MYC_HUMAN.H10MO.A,17139,-0.000906086835529,0.000199169
STA5B_HUMAN.H10MO.C,3884,0.000299023574052,2.31266e-05
RELB_HUMAN.H10MO.C,12297,-0.000348817617607,0.000231922
HNF4G_HUMAN.H10MO.C,12919,0.000570780951582,-0.0001432
IRF4_HUMAN.H10MO.C,76058,0.00513745358542,-0.00011453
MEOX2_HUMAN.H10MO.D,12950,-9.7995176325e-05,0.000414222
DBP_HUMAN.H10MO.B,6808,0.000208616343046,5.27203e-05
ANDR_HUMAN.H10MO.A,10583,0.000627493568043,0.000103056
P63_HUMAN.H10MO.A,7807,0.000993215053974,0.000121325
AIRE_HUMAN.H10MO.C,12198,7.01724108351e-05,9.70662e-05
NFYA_HUMAN.H10MO.A,13540,-0.000692162677444,0.000254303
PO5F1_HUMAN.H10MO.A,10613,7.3900451636e-05,-0.000134498
SOX8_HUMAN.H10MO.D,6200,-4.83246103711e-05,3.29316e-05
THA_HUMAN.H10MO.C,10585,0.00056414483929,-1.92523e-05
INSM1_HUMAN.H10MO.C,36329,0.00161385343761,0.00037986
CDX2_HUMAN.H10MO.C,8971,-0.00022602691399,-2.74777e-05
ETS2_HUMAN.H10MO.C,37964,0.00172255532258,5.99325e-05
ZN713_HUMAN.H10MO.D,86181,0.00272895228886,-0.000340194
MYF6_HUMAN.H10MO.C,6507,-2.47234098694e-05,-1.60635e-05
RX_HUMAN.H10MO.D,9857,-0.000446334086277,0.000222772
GATA3_HUMAN.H10MO.C,15840,-0.000922853139383,-0.000187695
ZN148_HUMAN.H10MO.D,81207,0.00139804615386,-0.000186861
PO3F4_HUMAN.H10MO.D,11234,-0.000196195898326,0.000123233
ZN784_HUMAN.H10MO.D,14920,-0.00034742728484,-4.91142e-05
ZN524_HUMAN.H10MO.D,32695,0.00146306301928,0.000238568
STAT6_HUMAN.H10MO.C,5157,0.000487284922862,1.01626e-05
PAX1_HUMAN.H10MO.D,10252,0.000387675231971,0.000140786
PRRX1_HUMAN.H10MO.D,2797,-0.000193419355338,2.38717e-05
ZIC4_HUMAN.H10MO.D,34828,0.00104757147542,0.000263065
CUX1_HUMAN.H10MO.C,9119,6.93661171702e-06,-1.17719e-05
BARH1_HUMAN.H10MO.D,10948,-0.00085645494385,0.000114888
NKX21_HUMAN.H10MO.D,5775,0.00021319019109,2.73585e-05
HXD4_HUMAN.H10MO.D,8277,0.000486688147444,0.000137627
PRRX2_HUMAN.H10MO.C,9186,1.87974037591e-06,0.000104725
PO4F3_HUMAN.H10MO.D,22995,0.00114204346835,0.000478566
HXB6_HUMAN.H10MO.D,9476,0.000291006181801,3.74317e-05
NDF2_HUMAN.H10MO.D,15520,6.05738180341e-05,-1.75536e-05
HXD3_HUMAN.H10MO.D,9232,-0.000452183038424,0.000194371
SRF_HUMAN.H10MO.A,17295,-0.000625085544369,4.15742e-05
ITF2_HUMAN.H10MO.B,7795,0.000124630129036,0.000123739
MYCN_HUMAN.H10MO.B,15909,0.000174403790685,0.000267476
TFE2_HUMAN.H10MO.C,6092,0.00177838260005,6.1363e-05
FLI1_HUMAN.H10MO.A,31103,0.0010918696196,0.000182122
PURA_HUMAN.H10MO.D,59182,0.00116155797102,-0.000172406
ETV7_HUMAN.H10MO.D,10040,0.00141133584704,0.000192702
NFIA_HUMAN.H10MO.C,11779,-0.000128627128904,-3.38256e-05
LHX8_HUMAN.H10MO.D,6117,-0.000322927045001,1.75834e-06
COE1_HUMAN.H10MO.A,12427,0.000188505417116,0.000170678
KLF8_HUMAN.H10MO.C,19822,0.000263325134634,9.84669e-05
P53_HUMAN.H10MO.B,7396,0.000221388821873,9.65893e-05
STA5A_HUMAN.H10MO.B,4065,-0.000406697229685,0.000100076
FOS_HUMAN.H10MO.A,3984,0.000233918910488,6.90818e-05
ZSC16_HUMAN.H10MO.D,5734,2.44703118357e-05,-2.18749e-05
TBX21_HUMAN.H10MO.D,8156,0.000532951102902,-9.41455e-05
GATA5_HUMAN.H10MO.D,9390,-0.000422148105741,8.55327e-06
HES1_HUMAN.H10MO.D,22252,0.00194474246158,0.000128806
TFCP2_HUMAN.H10MO.D,14745,0.000693557135167,0.000108361
TGIF1_HUMAN.H10MO.S,3613,-0.000418816421613,-3.77893e-05
BACH1_HUMAN.H10MO.A,7431,-0.000146090433411,6.24061e-05
GSX1_HUMAN.H10MO.D,11873,-0.0010308711022,0.00029707
TGIF1_HUMAN.H10MO.D,8006,-0.000226053649277,-8.04663e-05
SOX10_HUMAN.H10MO.D,10973,-0.000353904975237,0.000126719
RARB_HUMAN.H10MO.D,9319,-7.93697721495e-05,-3.13222e-05
FOXC2_HUMAN.H10MO.D,6871,0.000634935661764,-3.91304e-05
NFAC4_HUMAN.H10MO.C,17835,0.000579495971721,-7.88867e-05
TBX5_HUMAN.H10MO.D,7971,0.000645214098187,-0.000179231
UNC4_HUMAN.H10MO.D,13272,-0.00120248453589,0.000245005
HXA11_HUMAN.H10MO.D,14974,0.00138154588945,0.000216246
MAFG_HUMAN.H10MO.S,2730,0.000269705100765,-4.58956e-05
